ls_xy,ls_z,os_xyz,ls_t,os_t
0.015,0.5,75,0.1,75
0.015,0.5,75,0.5,5
0.015,0.5,75,0.5,25
0.015,0.5,75,0.5,75
0.015,0.5,75,5.0,5
0.015,0.5,75,5.0,25
0.015,0.5,75,5.0,75
0.015,0.5,75,50.0,5
0.015,0.5,75,50.0,25
0.015,0.5,75,50.0,75
0.015,0.5,150,0.02,5
0.015,0.5,150,0.02,25
0.015,0.5,150,0.02,75
0.015,0.5,150,0.1,5
0.015,0.5,150,0.1,25
0.015,0.5,150,0.1,75
0.015,0.5,150,0.5,5
0.015,0.5,150,0.5,25
0.015,0.5,150,0.5,75
0.015,0.5,150,5.0,5
0.015,0.5,150,5.0,25
0.015,0.5,150,5.0,75
0.015,0.5,150,50.0,5
0.015,0.5,150,50.0,25
0.015,0.5,150,50.0,75
0.015,1.0,25,0.02,5
0.015,1.0,25,0.02,25
0.015,1.0,25,0.02,75
0.015,1.0,25,0.1,5
0.015,1.0,25,0.1,25
0.015,1.0,25,0.1,75
0.015,1.0,25,0.5,5
0.015,1.0,25,0.5,25
0.015,1.0,25,0.5,75
0.015,1.0,25,5.0,5
0.015,1.0,25,5.0,25
0.015,1.0,25,5.0,75
0.015,1.0,25,50.0,5
0.015,1.0,25,50.0,25
0.015,1.0,25,50.0,75
0.015,1.0,75,0.02,5
0.015,1.0,75,0.02,25
0.015,1.0,75,0.02,75
0.015,1.0,75,0.1,5
0.015,1.0,75,0.1,25
0.015,1.0,75,0.1,75
0.015,1.0,75,0.5,5
0.015,1.0,75,0.5,25
0.015,1.0,75,0.5,75
0.015,1.0,75,5.0,5
0.015,1.0,75,5.0,25
0.015,1.0,75,5.0,75
0.015,1.0,75,50.0,5
0.015,1.0,75,50.0,25
0.015,1.0,75,50.0,75
0.015,1.0,150,0.02,5
0.015,1.0,150,0.02,25
0.015,1.0,150,0.02,75
0.015,1.0,150,0.1,5
0.015,1.0,150,0.1,25
0.015,1.0,150,0.1,75
0.015,1.0,150,0.5,5
0.015,1.0,150,0.5,25
0.015,1.0,150,0.5,75
0.015,1.0,150,5.0,5
0.015,1.0,150,5.0,25
0.015,1.0,150,5.0,75
0.015,1.0,150,50.0,5
0.015,1.0,150,50.0,25
0.015,1.0,150,50.0,75
0.03,0.25,25,0.02,5
0.03,0.25,25,0.02,25
0.03,0.25,25,0.02,75
0.03,0.25,25,0.1,5
0.03,0.25,25,0.1,25
0.03,0.25,25,0.1,75
0.03,0.25,25,0.5,5
0.03,0.25,25,0.5,25
0.03,0.25,25,0.5,75
0.03,0.25,25,5.0,5
0.03,0.25,25,5.0,25
0.03,0.25,25,5.0,75
0.03,0.25,25,50.0,5
0.03,0.25,25,50.0,25
0.03,0.25,25,50.0,75
0.03,0.25,75,0.02,5
0.03,0.25,75,0.02,25
0.03,0.25,75,0.02,75
0.03,0.25,75,0.1,5
0.03,0.25,75,0.1,25
0.03,0.25,75,0.1,75
0.03,0.25,75,0.5,5
0.03,0.25,75,0.5,25
0.03,0.25,75,0.5,75
0.03,0.25,75,5.0,5
0.03,0.25,75,5.0,25
0.03,0.25,75,5.0,75
0.03,0.25,75,50.0,5
0.03,0.25,75,50.0,25
0.03,0.25,75,50.0,75
0.03,0.25,150,0.02,5
0.03,0.25,150,0.02,25
0.03,0.25,150,0.02,75
0.03,0.25,150,0.1,5
0.03,0.25,150,0.1,25
0.03,0.25,150,0.1,75
0.03,0.25,150,0.5,5
0.03,0.25,150,0.5,25
0.03,0.25,150,0.5,75
0.03,0.25,150,5.0,5
0.03,0.25,150,5.0,25
0.03,0.25,150,5.0,75
0.03,0.25,150,50.0,5
0.03,0.25,150,50.0,25
0.03,0.25,150,50.0,75
0.03,0.5,25,0.02,5
0.03,0.5,25,0.02,25
0.03,0.5,25,0.02,75
0.03,0.5,25,0.1,5
0.03,0.5,25,0.1,25
0.03,0.5,25,0.1,75
0.03,0.5,25,0.5,5
0.03,0.5,25,0.5,25
0.03,0.5,25,0.5,75
0.03,0.5,25,5.0,5
0.03,0.5,25,5.0,25
0.03,0.5,25,5.0,75
0.03,0.5,25,50.0,5
0.03,0.5,25,50.0,25
0.03,0.5,25,50.0,75
0.03,0.5,75,0.02,5
0.03,0.5,75,0.02,25
0.03,0.5,75,0.02,75
0.03,0.5,75,0.1,5
0.03,0.5,75,0.1,25
0.03,0.5,75,0.1,75
0.03,0.5,75,0.5,5
0.03,0.5,75,0.5,25
0.03,0.5,75,0.5,75
0.03,0.5,75,5.0,5
0.03,0.5,75,5.0,25
0.03,0.5,75,5.0,75
0.03,0.5,75,50.0,5
0.03,0.5,75,50.0,25
0.03,0.5,75,50.0,75
0.03,0.5,150,0.02,5
0.03,0.5,150,0.02,25
0.03,0.5,150,0.02,75
0.03,0.5,150,0.1,5
0.03,0.5,150,0.1,25
0.03,0.5,150,0.1,75
0.03,0.5,150,0.5,5
0.03,0.5,150,0.5,25
0.03,0.5,150,0.5,75
0.03,0.5,150,5.0,5
0.03,0.5,150,5.0,25
0.03,0.5,150,5.0,75
0.03,0.5,150,50.0,5
0.03,0.5,150,50.0,25
0.03,0.5,150,50.0,75
0.03,1.0,25,0.02,5
0.03,1.0,25,0.02,25
0.03,1.0,25,0.02,75
0.03,1.0,25,0.1,5
0.03,1.0,25,0.1,25
0.03,1.0,25,0.1,75
0.03,1.0,25,0.5,5
0.03,1.0,25,0.5,25
0.03,1.0,25,0.5,75
0.03,1.0,25,5.0,5
0.03,1.0,25,5.0,25
0.03,1.0,25,5.0,75
0.03,1.0,25,50.0,5
0.03,1.0,25,50.0,25
0.03,1.0,25,50.0,75
0.03,1.0,75,0.02,5
0.03,1.0,75,0.02,25
0.03,1.0,75,0.02,75
0.03,1.0,75,0.1,5
0.03,1.0,75,0.1,25
0.03,1.0,75,0.1,75
0.03,1.0,75,0.5,5
0.03,1.0,75,0.5,25
0.03,1.0,75,0.5,75
0.03,1.0,75,5.0,5
0.03,1.0,75,5.0,25
0.03,1.0,75,5.0,75
0.03,1.0,75,50.0,5
0.03,1.0,75,50.0,25
0.03,1.0,75,50.0,75
0.03,1.0,150,0.02,5
0.03,1.0,150,0.02,25
0.03,1.0,150,0.02,75
0.03,1.0,150,0.1,5
0.03,1.0,150,0.1,25
0.03,1.0,150,0.1,75
0.03,1.0,150,0.5,5
0.03,1.0,150,0.5,25
0.03,1.0,150,0.5,75
0.03,1.0,150,5.0,5
0.03,1.0,150,5.0,25
0.03,1.0,150,5.0,75
0.03,1.0,150,50.0,5
0.03,1.0,150,50.0,25
0.03,1.0,150,50.0,75
0.06,0.25,25,0.02,5
0.06,0.25,25,0.02,25
0.06,0.25,25,0.02,75
0.06,0.25,25,0.1,5
0.06,0.25,25,0.1,25
0.06,0.25,25,0.1,75
0.06,0.25,25,0.5,5
0.06,0.25,25,0.5,25
0.06,0.25,25,0.5,75
0.06,0.25,25,5.0,5
0.06,0.25,25,5.0,25
0.06,0.25,25,5.0,75
0.06,0.25,25,50.0,5
0.06,0.25,25,50.0,25
0.06,0.25,25,50.0,75
0.06,0.25,75,0.02,5
0.06,0.25,75,0.02,25
0.06,0.25,75,0.02,75
0.06,0.25,75,0.1,5
0.06,0.25,75,0.1,25
0.06,0.25,75,0.1,75
0.06,0.25,75,0.5,5
0.06,0.25,75,0.5,25
0.06,0.25,75,0.5,75
0.06,0.25,75,5.0,5
0.06,0.25,75,5.0,25
0.06,0.25,75,5.0,75
0.06,0.25,75,50.0,5
0.06,0.25,75,50.0,25
0.06,0.25,75,50.0,75
0.06,0.25,150,0.02,5
0.06,0.25,150,0.02,25
0.06,0.25,150,0.02,75
0.06,0.25,150,0.1,5
0.06,0.25,150,0.1,25
0.06,0.25,150,0.1,75
0.06,0.25,150,0.5,5
0.06,0.25,150,0.5,25
0.06,0.25,150,0.5,75
0.06,0.25,150,5.0,5
0.06,0.25,150,5.0,25
0.06,0.25,150,5.0,75
0.06,0.25,150,50.0,5
0.06,0.25,150,50.0,25
0.06,0.25,150,50.0,75
0.06,0.5,25,0.02,5
0.06,0.5,25,0.02,25
0.06,0.5,25,0.02,75
0.06,0.5,25,0.1,5
0.06,0.5,25,0.1,25
0.06,0.5,25,0.1,75
0.06,0.5,25,0.5,5
0.06,0.5,25,0.5,25
0.06,0.5,25,0.5,75
0.06,0.5,25,5.0,5
0.06,0.5,25,5.0,25
0.06,0.5,25,5.0,75
0.06,0.5,25,50.0,5
0.06,0.5,25,50.0,25
0.06,0.5,25,50.0,75
0.06,0.5,75,0.02,5
0.06,0.5,75,0.02,25
0.06,0.5,75,0.02,75
0.06,0.5,75,0.1,5
0.06,0.5,75,0.1,25
0.06,0.5,75,0.1,75
0.06,0.5,75,0.5,5
0.06,0.5,75,0.5,25
0.06,0.5,75,0.5,75
0.06,0.5,75,5.0,5
0.06,0.5,75,5.0,25
0.06,0.5,75,5.0,75
0.06,0.5,75,50.0,5
0.06,0.5,75,50.0,25
0.06,0.5,75,50.0,75
0.06,0.5,150,0.02,5
0.06,0.5,150,0.02,25
0.06,0.5,150,0.02,75
0.06,0.5,150,0.1,5
0.06,0.5,150,0.1,25
0.06,0.5,150,0.1,75
0.06,0.5,150,0.5,5
0.06,0.5,150,0.5,25
0.06,0.5,150,0.5,75
0.06,0.5,150,5.0,5
0.06,0.5,150,5.0,25
0.06,0.5,150,5.0,75
0.06,0.5,150,50.0,5
0.06,0.5,150,50.0,25
0.06,0.5,150,50.0,75
0.06,1.0,25,0.02,5
0.06,1.0,25,0.02,25
0.06,1.0,25,0.02,75
0.06,1.0,25,0.1,5
0.06,1.0,25,0.1,25
0.06,1.0,25,0.1,75
0.06,1.0,25,0.5,5
0.06,1.0,25,0.5,25
0.06,1.0,25,0.5,75
0.06,1.0,25,5.0,5
0.06,1.0,25,5.0,25
0.06,1.0,25,5.0,75
0.06,1.0,25,50.0,5
0.06,1.0,25,50.0,25
0.06,1.0,25,50.0,75
0.06,1.0,75,0.02,5
0.06,1.0,75,0.02,25
0.06,1.0,75,0.02,75
0.06,1.0,75,0.1,5
0.06,1.0,75,0.1,25
0.06,1.0,75,0.1,75
0.06,1.0,75,0.5,5
0.06,1.0,75,0.5,25
0.06,1.0,75,0.5,75
0.06,1.0,75,5.0,5
0.06,1.0,75,5.0,25
0.06,1.0,75,5.0,75
0.06,1.0,75,50.0,5
0.06,1.0,75,50.0,25
0.06,1.0,75,50.0,75
0.06,1.0,150,0.02,5
0.06,1.0,150,0.02,25
0.06,1.0,150,0.02,75
0.06,1.0,150,0.1,5
0.06,1.0,150,0.1,25
0.06,1.0,150,0.1,75
0.06,1.0,150,0.5,5
0.06,1.0,150,0.5,25
0.06,1.0,150,0.5,75
0.06,1.0,150,5.0,5
0.06,1.0,150,5.0,25
0.06,1.0,150,5.0,75
0.06,1.0,150,50.0,5
0.06,1.0,150,50.0,25
0.06,1.0,150,50.0,75
0.12,0.25,25,0.02,5
0.12,0.25,25,0.02,25
0.12,0.25,25,0.02,75
0.12,0.25,25,0.1,5
0.12,0.25,25,0.1,25
0.12,0.25,25,0.1,75
0.12,0.25,25,0.5,5
0.12,0.25,25,0.5,25
0.12,0.25,25,0.5,75
0.12,0.25,25,5.0,5
0.12,0.25,25,5.0,25
0.12,0.25,25,5.0,75
0.12,0.25,25,50.0,5
0.12,0.25,25,50.0,25
0.12,0.25,25,50.0,75
0.12,0.25,75,0.02,5
0.12,0.25,75,0.02,25
0.12,0.25,75,0.02,75
0.12,0.25,75,0.1,5
0.12,0.25,75,0.1,25
0.12,0.25,75,0.1,75
0.12,0.25,75,0.5,5
0.12,0.25,75,0.5,25
0.12,0.25,75,0.5,75
0.12,0.25,75,5.0,5
0.12,0.25,75,5.0,25
0.12,0.25,75,5.0,75
0.12,0.25,75,50.0,5
0.12,0.25,75,50.0,25
0.12,0.25,75,50.0,75
0.12,0.25,150,0.02,5
0.12,0.25,150,0.02,25
0.12,0.25,150,0.02,75
0.12,0.25,150,0.1,5
0.12,0.25,150,0.1,25
0.12,0.25,150,0.1,75
0.12,0.25,150,0.5,5
0.12,0.25,150,0.5,25
0.12,0.25,150,0.5,75
0.12,0.25,150,5.0,5
0.12,0.25,150,5.0,25
0.12,0.25,150,5.0,75
0.12,0.25,150,50.0,5
0.12,0.25,150,50.0,25
0.12,0.25,150,50.0,75
0.12,0.5,25,0.02,5
0.12,0.5,25,0.02,25
0.12,0.5,25,0.02,75
0.12,0.5,25,0.1,5
0.12,0.5,25,0.1,25
0.12,0.5,25,0.1,75
0.12,0.5,25,0.5,5
0.12,0.5,25,0.5,25
0.12,0.5,25,0.5,75
0.12,0.5,25,5.0,5
0.12,0.5,25,5.0,25
0.12,0.5,25,5.0,75
0.12,0.5,25,50.0,5
0.12,0.5,25,50.0,25
0.12,0.5,25,50.0,75
0.12,0.5,75,0.02,5
0.12,0.5,75,0.02,25
0.12,0.5,75,0.02,75
0.12,0.5,75,0.1,5
0.12,0.5,75,0.1,25
0.12,0.5,75,0.1,75
0.12,0.5,75,0.5,5
0.12,0.5,75,0.5,25
0.12,0.5,75,0.5,75
0.12,0.5,75,5.0,5
0.12,0.5,75,5.0,25
0.12,0.5,75,5.0,75
0.12,0.5,75,50.0,5
0.12,0.5,75,50.0,25
0.12,0.5,75,50.0,75
0.12,0.5,150,0.02,5
0.12,0.5,150,0.02,25
0.12,0.5,150,0.02,75
0.12,0.5,150,0.1,5
0.12,0.5,150,0.1,25
0.12,0.5,150,0.1,75
0.12,0.5,150,0.5,5
0.12,0.5,150,0.5,25
0.12,0.5,150,0.5,75
0.12,0.5,150,5.0,5
0.12,0.5,150,5.0,25
0.12,0.5,150,5.0,75
0.12,0.5,150,50.0,5
0.12,0.5,150,50.0,25
0.12,0.5,150,50.0,75
0.12,1.0,25,0.02,5
0.12,1.0,25,0.02,25
0.12,1.0,25,0.02,75
0.12,1.0,25,0.1,5
0.12,1.0,25,0.1,25
0.12,1.0,25,0.1,75
0.12,1.0,25,0.5,5
0.12,1.0,25,0.5,25
0.12,1.0,25,0.5,75
0.12,1.0,25,5.0,5
0.12,1.0,25,5.0,25
0.12,1.0,25,5.0,75
0.12,1.0,25,50.0,5
0.12,1.0,25,50.0,25
0.12,1.0,25,50.0,75
0.12,1.0,75,0.02,5
0.12,1.0,75,0.02,25
0.12,1.0,75,0.02,75
0.12,1.0,75,0.1,5
0.12,1.0,75,0.1,25
0.12,1.0,75,0.1,75
0.12,1.0,75,0.5,5
0.12,1.0,75,0.5,25
0.12,1.0,75,0.5,75
0.12,1.0,75,5.0,5
0.12,1.0,75,5.0,25
0.12,1.0,75,5.0,75
0.12,1.0,75,50.0,5
0.12,1.0,75,50.0,25
0.12,1.0,75,50.0,75
0.12,1.0,150,0.02,5
0.12,1.0,150,0.02,25
0.12,1.0,150,0.02,75
0.12,1.0,150,0.1,5
0.12,1.0,150,0.1,25
0.12,1.0,150,0.1,75
0.12,1.0,150,0.5,5
0.12,1.0,150,0.5,25
0.12,1.0,150,0.5,75
0.12,1.0,150,5.0,5
0.12,1.0,150,5.0,25
0.12,1.0,150,5.0,75
0.12,1.0,150,50.0,5
0.12,1.0,150,50.0,25
0.12,1.0,150,50.0,75
0.24,0.25,25,0.02,5
0.24,0.25,25,0.02,25
0.24,0.25,25,0.02,75
0.24,0.25,25,0.1,5
0.24,0.25,25,0.1,25
0.24,0.25,25,0.1,75
0.24,0.25,25,0.5,5
0.24,0.25,25,0.5,25
0.24,0.25,25,0.5,75
0.24,0.25,25,5.0,5
0.24,0.25,25,5.0,25
0.24,0.25,25,5.0,75
0.24,0.25,25,50.0,5
0.24,0.25,25,50.0,25
0.24,0.25,25,50.0,75
0.24,0.25,75,0.02,5
0.24,0.25,75,0.02,25
0.24,0.25,75,0.02,75
0.24,0.25,75,0.1,5
0.24,0.25,75,0.1,25
0.24,0.25,75,0.1,75
0.24,0.25,75,0.5,5
0.24,0.25,75,0.5,25
0.24,0.25,75,0.5,75
0.24,0.25,75,5.0,5
0.24,0.25,75,5.0,25
0.24,0.25,75,5.0,75
0.24,0.25,75,50.0,5
0.24,0.25,75,50.0,25
0.24,0.25,75,50.0,75
0.24,0.25,150,0.02,5
0.24,0.25,150,0.02,25
0.24,0.25,150,0.02,75
0.24,0.25,150,0.1,5
0.24,0.25,150,0.1,25
0.24,0.25,150,0.1,75
0.24,0.25,150,0.5,5
0.24,0.25,150,0.5,25
0.24,0.25,150,0.5,75
0.24,0.25,150,5.0,5
0.24,0.25,150,5.0,25
0.24,0.25,150,5.0,75
0.24,0.25,150,50.0,5
0.24,0.25,150,50.0,25
0.24,0.25,150,50.0,75
0.24,0.5,25,0.02,5
0.24,0.5,25,0.02,25
0.24,0.5,25,0.02,75
0.24,0.5,25,0.1,5
0.24,0.5,25,0.1,25
0.24,0.5,25,0.1,75
0.24,0.5,25,0.5,5
0.24,0.5,25,0.5,25
0.24,0.5,25,0.5,75
0.24,0.5,25,5.0,5
0.24,0.5,25,5.0,25
0.24,0.5,25,5.0,75
0.24,0.5,25,50.0,5
0.24,0.5,25,50.0,25
0.24,0.5,25,50.0,75
0.24,0.5,75,0.02,5
0.24,0.5,75,0.02,25
0.24,0.5,75,0.02,75
0.24,0.5,75,0.1,5
0.24,0.5,75,0.1,25
0.24,0.5,75,0.1,75
0.24,0.5,75,0.5,5
0.24,0.5,75,0.5,25
0.24,0.5,75,0.5,75
0.24,0.5,75,5.0,5
0.24,0.5,75,5.0,25
0.24,0.5,75,5.0,75
0.24,0.5,75,50.0,5
0.24,0.5,75,50.0,25
0.24,0.5,75,50.0,75
0.24,0.5,150,0.02,5
0.24,0.5,150,0.02,25
0.24,0.5,150,0.02,75
0.24,0.5,150,0.1,5
0.24,0.5,150,0.1,25
0.24,0.5,150,0.1,75
0.24,0.5,150,0.5,5
0.24,0.5,150,0.5,25
0.24,0.5,150,0.5,75
0.24,0.5,150,5.0,5
0.24,0.5,150,5.0,25
0.24,0.5,150,5.0,75
0.24,0.5,150,50.0,5
0.24,0.5,150,50.0,25
0.24,0.5,150,50.0,75
0.24,1.0,25,0.02,5
0.24,1.0,25,0.02,25
0.24,1.0,25,0.02,75
0.24,1.0,25,0.1,5
0.24,1.0,25,0.1,25
0.24,1.0,25,0.1,75
0.24,1.0,25,0.5,5
0.24,1.0,25,0.5,25
0.24,1.0,25,0.5,75
0.24,1.0,25,5.0,5
0.24,1.0,25,5.0,25
0.24,1.0,25,5.0,75
0.24,1.0,25,50.0,5
0.24,1.0,25,50.0,25
0.24,1.0,25,50.0,75
0.24,1.0,75,0.02,5
0.24,1.0,75,0.02,25
0.24,1.0,75,0.02,75
0.24,1.0,75,0.1,5
0.24,1.0,75,0.1,25
0.24,1.0,75,0.1,75
0.24,1.0,75,0.5,5
0.24,1.0,75,0.5,25
0.24,1.0,75,0.5,75
0.24,1.0,75,5.0,5
0.24,1.0,75,5.0,25
0.24,1.0,75,5.0,75
0.24,1.0,75,50.0,5
0.24,1.0,75,50.0,25
0.24,1.0,75,50.0,75
0.24,1.0,150,0.02,5
0.24,1.0,150,0.02,25
0.24,1.0,150,0.02,75
0.24,1.0,150,0.1,5
0.24,1.0,150,0.1,25
0.24,1.0,150,0.1,75
0.24,1.0,150,0.5,5
0.24,1.0,150,0.5,25
0.24,1.0,150,0.5,75
0.24,1.0,150,5.0,5
0.24,1.0,150,5.0,25
0.24,1.0,150,5.0,75
0.24,1.0,150,50.0,5
0.24,1.0,150,50.0,25
0.24,1.0,150,50.0,75
